time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.37244111524e-07,7.78293322416e-07,10.0069624799,0.000525606204614,0.000201796693216,0.0,-2.10617858955e-05,6.28763610397e-05,0.232063607635,0.022180851758,0.0093601626444,0.0,477.1818372963472,477.89564552261805,475.54572977248125,477.2413672720703
0.12000000000000001,-8.29977192341e-06,2.15346234108e-05,10.0252167205,0.00186597160393,0.000845097753658,0.0,-0.000313229644625,0.000773986188586,0.376373744765,0.0226546623198,0.0133144209247,0.0,450.29721464873256,450.6168016690041,451.1544499741865,451.1927153202889
0.18,-5.06344209317e-05,0.000117769351747,10.0536440029,0.00325254178384,0.00182748765747,0.0,-0.0012019050117,0.00259300500336,0.571124305763,0.0240039145274,0.0218790950244,0.0,465.58481762471126,466.2542196863413,466.373821246779,466.47919596787654
0.23999999999999996,-0.000172213458578,0.00035729680157,10.0941359152,0.00452510171688,0.0031569988417,0.0,-0.00300625586584,0.00555155612367,0.77848667376,0.0149354013862,0.0227115383865,0.0,470.0576853201923,470.1221724177382,470.46454292053664,469.7619452640599
0.3,-0.000430734568944,0.000797889499584,10.1461213091,0.00513211179506,0.00417292777522,0.0,-0.00574949188348,0.00922200887305,0.954228398602,-0.00187547417468,0.00169224902835,0.0,461.9821240238588,460.32194641150926,461.4063243361679,460.07731346642277
0.36000000000000004,-0.000870442608225,0.00146679501709,10.2083221114,0.00506832450509,0.00425235703724,0.0,-0.00891693760877,0.013064298662,1.11898469214,0.000514133406948,0.000576529959514,0.0,458.5609108848221,458.4722548866755,457.2276303087236,457.41796776386497
0.4200000000000001,-0.0015063740109,0.00237222579289,10.2815003523,0.00592141668049,0.00427747386892,0.0,-0.0122833786035,0.017177541701,1.32007919742,0.032890820602,0.000100866863377,0.0,469.96335800528857,469.9264826644611,467.05983831940915,469.5778233045773
0.48000000000000015,-0.0023255983134,0.00352372387878,10.3622812915,0.00761145559957,0.00401260050001,0.0,-0.0150134709079,0.0213814197859,1.37255584033,0.0164768508982,-0.0154649918838,0.0,424.4723545547519,423.1346344619571,423.53993144893025,422.1262639467465
0.5400000000000001,-0.0033071453294,0.00497024170709,10.4479754714,0.00854305521012,0.00317368300028,0.0,-0.0176128320104,0.0269343484251,1.48377834854,0.0135552366903,-0.0111697298677,0.0,442.04990051091073,442.40378220124995,442.5412319957592,442.300606731961
0.6000000000000002,-0.00443367018885,0.00678644980735,10.5422395574,0.0100882289277,0.0022008732933,0.0,-0.0198474405831,0.0337452122269,1.65812028648,0.0429470185998,-0.0289284512027,0.0,463.53245409725776,462.13496969003785,460.06484324758287,462.38604191040235
0.6600000000000003,-0.00566838890553,0.00905862385675,10.6474563306,0.0121479198077,0.000231702881265,0.0,-0.0210971959394,0.0422720766433,1.84881404573,0.00525725000729,-0.0420303657267,0.0,468.43832944798385,467.4180786164731,468.4024329992307,465.4627445256909
0.7200000000000003,-0.00692875160045,0.011876635609,10.7638120141,0.0121813103898,6.2808063359,0.0,-0.0206228726606,0.0516802923193,2.02940542486,-0.0110662061678,-0.0466499104936,0.0,465.81500964109756,465.45267535404156,465.0648828358907,463.78465640789176
0.7800000000000004,-0.00810855248974,0.0152168084806,10.8877763108,0.0112402213288,6.27789754216,0.0,-0.018424750832,0.0595805197136,2.10260589854,-0.0270506334354,-0.0524155742671,0.0,432.62205742774705,432.1348133652182,433.0415323653004,431.69497955377363
0.8400000000000004,-0.00910919426823,0.0189871830565,11.0141448613,0.00974346965812,6.27479207698,0.0,-0.0146543214696,0.0659609347836,2.10966593538,-0.0210381135137,-0.0504740086132,0.0,410.656037839411,410.8262508848139,410.65544336168824,411.1882498609728
0.9000000000000005,-0.00981441884468,0.0231303414847,11.142553929,0.00875184200906,6.27215230935,0.0,-0.00858386285863,0.0720358819607,2.1705211975,-0.00876159603101,-0.0334570182978,0.0,429.3087524981693,430.7489092991933,426.84962839511354,427.8960184406059
0.9600000000000005,-0.0100802598551,0.0276425944511,11.2770077246,0.00884234676156,6.27043236618,0.0,-8.08669232304e-05,0.0783523465945,2.31099644524,0.016662743847,-0.020486507493,0.0,452.8319160845773,453.87380086529697,453.76370898326394,455.80003794035423
1.0200000000000005,-0.00979542033392,0.0325452388564,11.4203212918,0.0100484504845,6.26891076146,0.0,0.00972014487145,0.085188402462,2.46579819754,0.0262182737509,-0.0375248629712,0.0,460.1491969442331,458.7983219543005,458.1895857420325,458.94856932284966
1.0800000000000005,-0.00892415201644,0.0378590844478,11.5702183484,0.0115468224595,6.26666781631,0.0,0.0195375799099,0.0920869814978,2.53062364196,0.0223582227358,-0.0370991109303,0.0,431.1441320376786,431.1793959064884,432.1450114290631,431.8196398681813
1.1400000000000006,-0.00736268635043,0.0436564066283,11.7274883849,0.0126413712195,6.26547228378,0.0,0.0326849102978,0.101292708708,2.71129491036,0.00838431308447,0.00180546047247,0.0,465.52447058046357,468.55858141540944,469.0649901542174,467.9784986071315
1.2000000000000006,-0.00502584641864,0.050004070906,11.8937379626,0.0128480058066,6.26548241115,0.0,0.0451982846227,0.110332063492,2.83007008284,-0.00893819782792,-0.00332411808589,0.0,450.3279329648723,449.91281502407827,450.27177859368936,448.8681848778232
1.2600000000000007,-0.00188511482248,0.0569330618398,12.0701046479,0.0126876160968,6.26588535473,0.0,0.0594645995721,0.120588042549,3.04826410518,0.00758302673096,0.0216137392776,0.0,479.38024398277213,481.27139746884905,479.54173126262714,480.79510840405663
1.3200000000000007,0.00204734472447,0.0644413044623,12.2567261251,0.0126933510991,6.26744447224,0.0,0.0714596774493,0.12971441463,3.17211776433,-0.0223436154775,0.0335416965335,0.0,452.0219591641164,452.9822975796139,455.0902132822962,452.6884529229344
1.3800000000000008,0.00659799653718,0.0724376401068,12.4465798386,0.0110620183495,6.27032552671,0.0,0.0800133880107,0.136706141591,3.15638769698,-0.0392631813591,0.0674058048095,0.0,406.93148418453285,409.95320669868,409.78384304991124,408.27668669487315
1.4400000000000008,0.0116537431954,0.0808635766034,12.6393514892,0.00902922719297,6.27418986014,0.0,0.0880958461229,0.143928484376,3.26902649564,-0.024847105182,0.0576082509874,0.0,450.4226570917782,449.63255578856035,450.041880842186,451.20674940905724
1.5000000000000009,0.0171565037985,0.0897265802936,12.8438086361,0.00787929134033,6.2773732818,0.0,0.0948945933165,0.151330803916,3.54540281514,-0.00971221458014,0.0419029356323,0.0,499.38544372430874,498.23999480929257,498.800547785542,499.9046807101738
1.560000000000001,0.0229611490843,0.0989674166803,13.0596806845,0.00716097911078,6.27993876791,0.0,0.0983306762707,0.156627868219,3.65000651169,-0.0169246031364,0.0444153514831,0.0,450.2706100729685,450.4748034823711,450.33414292868446,449.7504613024782
1.620000000000001,0.0289165116228,0.108506599233,13.2813412653,0.00659973199021,6.28272245728,0.0,0.0999068110976,0.161266680292,3.7383967658,0.00260762403476,0.0500847123251,0.0,446.40997056282,446.87362904665156,444.2398260274382,445.8387310370539
1.680000000000001,0.0349088222236,0.118302497664,13.5061873117,0.00677754336834,0.00252316447059,0.0,0.0995672302044,0.165277728346,3.75641295897,0.00366603078156,0.0491238260776,0.0,423.6783676388941,423.5974232294241,424.0239245379221,424.1147869218086
1.740000000000001,0.040826997278,0.128342407741,13.731977374,0.00773335033613,0.00530551857714,0.0,0.0974488897292,0.169444460611,3.76987743305,0.033192555545,0.0402097955938,0.0,423.9090629092848,423.1437053653481,420.1561482049726,422.7084460272235
1.8000000000000012,0.0465650021569,0.13866026778,13.9592800799,0.00955754575819,0.00717950068479,0.0,0.0936069689014,0.174660735704,3.80675431911,0.0241433302824,-0.000584950763448,0.0,433.2558647953448,429.8123715491836,429.3483482807028,428.5801885093642
1.8600000000000012,0.052055519259,0.149310719456,14.187484556,0.0110702335586,0.00725895398269,0.0,0.0894081859876,0.180482246497,3.80008151812,0.0272661797424,0.00489280053756,0.0,415.4405271874603,415.9205645064682,416.4910492677118,416.7642621832712
1.9200000000000013,0.0572617826347,0.160383300697,14.419301434,0.0129329191614,0.00806051872869,0.0,0.0840750877158,0.188785138419,3.92671784816,0.0376944403353,0.0264278200734,0.0,457.91224126824693,459.62215747562635,458.1913967183852,459.02004703723827
1.9800000000000013,0.0620846239144,0.172058273339,14.6633650175,0.0148963903488,0.0110377778253,0.0,0.0763747758037,0.200642535323,4.2077374077,0.0202512512222,0.0757367196748,0.0,502.23534075256475,505.80013927028136,505.2965091279801,504.0376645641088
2.0400000000000014,0.0663887163934,0.184450440232,14.9215595737,0.0166216443699,0.0154414626118,0.0,0.0665864167821,0.212592639079,4.39802684881,0.0418651062041,0.0682459726462,0.0,481.5580852004506,480.99480719008017,478.9677641278458,480.60901936190817
2.1000000000000014,0.0700720892014,0.197533246564,15.1869842724,0.018976494147,0.019216295027,0.0,0.0558196826787,0.223728596338,4.44925408854,0.0334192799671,0.0492477045821,0.0,440.5199512271645,438.948832875919,440.11505014694274,439.4161713616106
2.1600000000000015,0.0730226065977,0.211345710065,15.4564058876,0.0211291993837,0.0221786967803,0.0,0.0422433791805,0.236887185653,4.53113393339,0.0403906589422,0.0496234157385,0.0,450.0333182103355,450.06521458062355,449.33473017850866,449.9001416938901
2.2200000000000015,0.0750489283879,0.226039189805,15.7329110719,0.0232663878257,0.0255552677161,0.0,0.0249626632638,0.253134972099,4.68507168208,0.0237816282086,0.0670472072019,0.0,471.71603715612,473.0616403160997,473.02580778092135,471.7453828002402
2.2800000000000016,0.0759599073678,0.241750139307,16.0186136601,0.0244054207741,0.0298492851221,0.0,0.00496200607588,0.270690995814,4.83769718351,0.00705861008067,0.0793423122897,0.0,472.14204572254243,473.0933480942206,474.56501314551684,473.27944577232563
2.3400000000000016,0.0756754407382,0.258453754718,16.3101225263,0.0250172388426,0.0345318314848,0.0,-0.014879870614,0.286139658152,4.8790727431,0.0158322383153,0.0753087315707,0.0,440.38864951313064,440.05975077616324,440.43085329389487,441.1558773148979
2.4000000000000017,0.0741307683997,0.276084395312,16.6036011208,0.0257110914959,0.0389358376852,0.0,-0.0370109421873,0.301620813811,4.9034236949,0.00125817834277,0.0692824686585,0.0,435.5053469700808,435.0052361787516,436.30782456224307,435.08907915673905
2.4600000000000017,0.0710663110015,0.294726489705,16.9013600771,0.0260965129464,0.0429742234219,0.0,-0.0655460917096,0.319793420856,5.02134256143,0.0151475144466,0.0630307417835,0.0,465.3176120294165,464.83104858916687,464.10970876513585,465.19861623193054
2.520000000000002,0.0663034162624,0.314411406092,17.2039493686,0.0264484358566,0.0468275622642,0.0,-0.0935656377371,0.336438052443,5.06475266557,-0.0287797641889,0.0665038314485,0.0,443.47513680253445,443.7633856201191,444.1018133396378,440.48348463050746
2.580000000000002,0.059968179069,0.334991273845,17.5053056962,0.0244935687504,0.0508675783957,0.0,-0.117926520672,0.349427971304,4.98081443184,-0.0415386459175,0.0689427413835,0.0,400.7668567327926,400.9924446074239,401.91876595091753,400.75995921316365
2.640000000000002,0.0518991751947,0.356416054709,17.8056870306,0.0220157502396,0.0555592029328,0.0,-0.151450537231,0.364487591994,5.03165399455,-0.0408180920767,0.0921849400544,0.0,444.07613309983867,445.983517216484,444.9605605102204,445.01865268559953
2.700000000000002,0.0416281887206,0.378733058395,18.1108146349,0.0195856476996,0.0607404942462,0.0,-0.191443859087,0.379147610641,5.13875946838,-0.0398764972877,0.0709443819849,0.0,463.99638486015886,462.331305494727,462.6192839806975,462.69264986201466
2.760000000000002,0.0290435682394,0.401819527755,18.4192900644,0.0169306280933,0.0651664910542,0.0,-0.228423379112,0.390177356774,5.14370722818,-0.0548677155527,0.0788829219322,0.0,431.5954892000381,432.2694790778468,432.5547695683296,431.2890218093544
2.820000000000002,0.0139995115204,0.42555637543,18.7304772924,0.0133007612554,0.0703540632134,0.0,-0.273516727453,0.400698796669,5.22878079997,-0.0751951278989,0.0984224766968,0.0,456.78893313055306,458.3504794550827,457.90436015346467,456.28155187695234
2.880000000000002,-0.00387913540175,0.449849232339,19.0470467578,0.00871460386606,0.0762451348246,0.0,-0.323002615421,0.408593051532,5.32305649779,-0.0790392581819,0.0977047068203,0.0,461.52451740317366,461.4757331723462,460.68587911010405,460.37737658378944
2.940000000000002,-0.0249229951013,0.474528386855,19.3702354447,0.00458194823635,0.0824054281126,0.0,-0.379049938388,0.413572220155,5.44925109233,-0.0538504814217,0.111102213815,0.0,471.40377884428426,472.44644879451,470.32282211509255,472.266413060046
3.000000000000002,-0.0490586210543,0.499402599165,19.6961423277,0.00102470142585,0.088854269922,0.0,-0.426022657887,0.415289464959,5.41442148214,-0.0733117584771,0.0990301597555,0.0,422.8951567551603,421.8645760229759,423.1130014473444,421.43106219649934
3.0600000000000023,-0.0763071007745,0.524316936478,20.0220539687,6.27978717958,0.0946344737566,0.0,-0.482785106227,0.41477730013,5.44907199551,-0.0745298416169,0.0903224288895,0.0,445.28837739156046,444.58323118729305,444.4073346661577,444.30323101277054
3.1200000000000023,-0.10689233786,0.549124490095,20.3482081423,6.27524422027,0.0998333699888,0.0,-0.537176461104,0.411761578286,5.42279846257,-0.0781990458674,0.0780504907973,0.0,426.08259260666296,425.03846030520367,425.4419172163887,425.12277844803083
3.1800000000000024,-0.141347544225,0.5736276396,20.6779332483,6.2703408398,0.104610814852,0.0,-0.611771695264,0.404493729241,5.56726626472,-0.0899086098361,0.0825971449549,0.0,477.7274586406739,478.078658014347,479.56421357529786,478.6688732907826
3.2400000000000024,-0.180007781269,0.597632689943,21.0127542208,6.26505619501,0.109760844401,0.0,-0.677348209364,0.395187451308,5.59322708615,-0.0846480573197,0.0916241097687,0.0,443.01652888729404,443.7643286134898,444.1493843127401,444.5742396507293
